35639606 Oscar Ruina 3 5.00 -1.00 2.00 4.00 4.00 -1.00 4.00 0 1 1
40000104 Persona Cuatro 2 7.00 -1.00 7.00 -1.00 7.00 -1.00 7.00 0 1 1
40000106 Persona Seis 1 2.00 4.00 4.00 -1.00 4.00 -1.00 4.00 0 1 1
40000113 Persona Trece 2 4.00 -1.00 4.00 -1.00 4.00 -1.00 4.00 0 1 1
40000116 Persona Dieciseis 1 4.00 -1.00 2.00 4.00 2.00 4.00 2.00 0 0 1
40000118 Persona Dieciocho 3 5.00 -1.00 6.00 -1.00 7.00 -1.00 8.00 0 1 1
40000122 El Loco 1 6.00 -1.00 6.00 -1.00 6.00 -1.00 7.00 0 1 1
40000126 Persona Veintiseis 2 4.00 -1.00 2.00 4.00 2.00 2.00 -1.00 1 -1 1
40000129 Persona Veintinueve 3 5.00 -1.00 5.00 -1.00 4.00 -1.00 4.00 0 1 1
40000132 Persona Treintaydos 1 6.00 -1.00 7.00 -1.00 8.00 -1.00 8.00 0 1 1
40000134 Persona Treintaycuatro 3 4.00 -1.00 2.00 3.00 -1.00 -1.00 -1.00 1 -1 1
40000139 Persona Treintaynueve 3 7.00 -1.00 8.00 -1.00 7.00 -1.00 7.33 0 1 1

